,CIK,TokenCount,TotalProportion
10K/100517-10-K-20210301.txt,100517,299801.0,0.0013308828
10K/1005229-10-K-20210526.txt,1005229,2004786.0,3.0925996e-05
10K/1005284-10-K-20210218.txt,1005284,181631.0,0.00031932874
10K/1005757-10-K-20210219.txt,1005757,190394.0,0.00019433386
10K/1005817-10-K-20210301.txt,1005817,297743.0,0.0006011896
10K/100591-10-K-20210414.txt,100591,133930.0,0.00072425895
10K/1006045-10-K-20210323.txt,1006045,90002.0,0.0010777538
10K/1006269-10-K-20210309.txt,1006269,214075.0,0.0002569193
10K/1006281-10-K-20210330.txt,1006281,149524.0,0.00067547685
10K/1006837-10-K-20210310.txt,1006837,307733.0,0.0005589261
10K/1007019-10-K-20210216.txt,1007019,61335.0,0.001027146
10K/100716-10-K-20210331.txt,100716,142678.0,0.00045557128
10K/1007273-10-K-20210305.txt,1007273,99569.0,0.0006729002
10K/1007587-10-K-20210303.txt,1007587,280097.0,0.00045341437
10K/100790-10-K-20210205.txt,100790,151193.0,0.00053573906
10K/100826-10-K-20210222.txt,100826,492219.0,0.000455082
10K/1008586-10-K-20210422.txt,1008586,98182.0,0.000488888
10K/1008654-10-K-20210310.txt,1008654,242474.0,0.00061449886
10K/1008848-10-K-20210316.txt,1008848,327297.0,0.0002963669
10K/100885-10-K-20210205.txt,100885,731139.0,9.8476485e-05
10K/1009829-10-K-20210319.txt,1009829,200569.0,0.0007428865
10K/1009891-10-K-20210329.txt,1009891,81490.0,0.0013130446
10K/1010086-10-K-20210304.txt,1010086,127018.0,0.0010156041
10K/1010612-10-K-20210226.txt,1010612,260737.0,0.00041804576
10K/1011432-10-K-20210325.txt,1011432,81256.0,0.0028920942
10K/1011509-10-K-20210218.txt,1011509,108995.0,0.0005871829
10K/1011570-10-K-20210301.txt,1011570,226327.0,0.0006539211
10K/1011659-10-K-20210302.txt,1011659,321080.0,0.00037373864
10K/1011662-10-K-20210419.txt,1011662,55000.0,0.00018181818
10K/101199-10-K-20210226.txt,101199,300522.0,0.00044256327
10K/1012019-10-K-20210224.txt,1012019,154639.0,0.0007113341
10K/1012100-10-K-20210225.txt,1012100,331655.0,0.00030151816
10K/1012477-10-K-20210309.txt,1012477,1731161.0,3.061529e-05
10K/1012771-10-K-20210225.txt,1012771,369793.0,0.00018118245
10K/101295-10-K-20210322.txt,101295,49564.0,0.003934307
10K/1013272-10-K-20210309.txt,1013272,225777.0,0.00038976513
10K/1013462-10-K-20210224.txt,1013462,1147007.0,0.00010113278
10K/1013488-10-K-20210301.txt,1013488,142864.0,0.0017569157
10K/1013706-10-K-20210316.txt,1013706,52884.0,0.0008887376
10K/101382-10-K-20210301.txt,101382,282886.0,0.0003393593
10K/1013857-10-K-20210217.txt,1013857,473443.0,0.0001267312
10K/1013871-10-K-20210301.txt,1013871,548294.0,0.00024439444
10K/1013880-10-K-20210301.txt,1013880,213510.0,0.0005479837
10K/1013934-10-K-20210301.txt,1013934,227929.0,0.00051331776
10K/1014473-10-K-20210219.txt,1014473,137091.0,0.0004157822
10K/1014739-10-K-20210311.txt,1014739,206843.0,0.00033842094
10K/1014763-10-K-20210330.txt,1014763,43771.0,0.0005940006
10K/1015328-10-K-20210226.txt,1015328,406321.0,0.00059558824
10K/101538-10-K-20210331.txt,101538,63744.0,0.0005961345
10K/1015739-10-K-20210217.txt,1015739,69843.0,0.00055839523
10K/101594-10-K-20210326.txt,101594,138927.0,0.000575842
10K/1016169-10-K-20210302.txt,1016169,162853.0,0.0003377279
10K/1016281-10-K-20210302.txt,1016281,353160.0,0.00027466303
10K/1016708-10-K-20210331.txt,1016708,52920.0,0.00073696143
10K/1017110-10-K-20210414.txt,1017110,41572.0,0.004979313
10K/1017303-10-K-20210312.txt,1017303,158483.0,0.0012241061
10K/1017480-10-K-20210407.txt,1017480,157732.0,0.0011601958
10K/1017491-10-K-20210311.txt,1017491,86137.0,0.0010448472
10K/1017655-10-K-20210331.txt,1017655,121931.0,0.00018042991
10K/1017673-10-K-20210304.txt,1017673,65462.0,0.0019095048
10K/101778-10-K-20210223.txt,101778,507795.0,8.074124e-05
10K/1018164-10-K-20210315.txt,1018164,199288.0,0.0007576974
10K/1018254-10-K-20210218.txt,1018254,420948.0,0.0008552125
10K/101829-10-K-20210208.txt,101829,391142.0,0.0010175332
10K/1018399-10-K-20210310.txt,1018399,263710.0,0.0006673998
10K/1018724-10-K-20210203.txt,1018724,165821.0,0.00042214195
10K/1018840-10-K-20210329.txt,1018840,260117.0,0.001541614
10K/1018963-10-K-20210226.txt,1018963,293801.0,0.0004288617
10K/1018979-10-K-20210226.txt,1018979,210211.0,0.0001331995
10K/1019034-10-K-20210329.txt,1019034,96893.0,0.00046442985
10K/1019671-10-K-20210415.txt,1019671,157303.0,0.00083278766
10K/101984-10-K-20210305.txt,101984,206071.0,0.00057261816
10K/1019849-10-K-20210219.txt,1019849,211165.0,0.001226529
10K/1020214-10-K-20210225.txt,1020214,187513.0,0.0011892508
10K/102037-10-K-20210528.txt,102037,216992.0,0.0005345819
